annotation.GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NWMN_RS03720,1964.3818416094075,1.0337183824103238,0.2779311309365933,3.7193328394945238,0.00019974969107441022,0.0006569090822234584
NWMN_RS03725,2097.1724143827223,1.4204974858712203,0.27215204982093505,5.2194994923089855,1.7940730685235248e-07,9.432408592081986e-07
NWMN_RS03730,347.34315131786445,1.4064357632125417,0.26487415493291244,5.309826334580529,1.0972974267612811e-07,5.914688463434355e-07
NWMN_RS03735,2301.327451658094,0.8989482246127914,0.3422884936534982,2.6262881787747294,0.008632170057063104,0.01912247339680218
NWMN_RS03745,932.1429070704974,-1.269444025051509,0.234883800541255,-5.404561839199907,6.496700748407664e-08,3.6643890952076306e-07
NWMN_RS03750,1493.1082999552568,-1.203742697039194,0.21153865887087445,-5.6904147140971135,1.2673119803747868e-08,8.062963207026571e-08
NWMN_RS03755,1728.3591534890897,-0.8228747765216535,0.29251608254385153,-2.813092426801166,0.004906754521728304,0.011653045354031673
NWMN_RS03760,4696.434584055522,-2.223764662517874,0.35775150327550864,-6.215947779834559,5.101576921109039e-10,3.937611870950739e-09
NWMN_RS03795,1793.844852297107,0.8581757995299995,0.26266538506400444,3.267182690710789,0.0010862355878402538,0.003005593376542891
NWMN_RS03800,9150.392339636892,0.7522588446703785,0.2562326304919925,2.9358432734580506,0.003326423391851641,0.008205550721867842
NWMN_RS03805,4950.386867601363,-1.7367651664072103,0.3225464645294297,-5.384542561770182,7.262911721159808e-08,4.073063112459219e-07
NWMN_RS03810,9783.470659029163,-2.2550280168590837,0.3055687987142886,-7.379771843026319,1.585610171110979e-13,2.0761583177984377e-12
NWMN_RS03815,41356.74314955099,2.31134954035514,0.30169414707416614,7.661234275741306,1.8415457450929393e-14,2.6219678011444616e-13
NWMN_RS03820,39032.82268572274,2.065496189571254,0.32552524611144257,6.345118279594626,2.222546217092263e-10,1.8311033861605637e-09
NWMN_RS03825,26539.04436117695,2.01919810957976,0.3439339950412896,5.870888422464182,4.334659389734754e-09,2.915953208736705e-08
NWMN_RS03830,49588.61759015225,1.76936812463498,0.3783296237319312,4.676789798222836,2.914006856658071e-06,1.3048522306226142e-05
NWMN_RS03845,1292.652309904964,-0.8325116651820327,0.3571689338273115,-2.330862475246925,0.01976061251653605,0.039507754949557085
NWMN_RS03850,578.1380235899234,0.7038004778093121,0.3014212467009266,2.33493984087867,0.019546563679730136,0.039159884749076834
NWMN_RS03855,1042.161045309418,2.111738190458799,0.30923753155204065,6.828854763715577,8.559517441936963e-12,9.302587451910728e-11
NWMN_RS03860,4098.638353993059,2.013811631747543,0.28700296435744926,7.016692793595788,2.2718135608394776e-12,2.730831628664831e-11
NWMN_RS03865,2550.959840781891,1.9139089359810493,0.28454879601395094,6.726118552570553,1.7424861262715194e-11,1.7950848952565292e-10
NWMN_RS03870,1111.8790240191054,1.7706615359258044,0.2546155471215306,6.954255370276543,3.5442907718501193e-12,4.130569314774466e-11
NWMN_RS03875,3476.60481162391,1.7084782736658466,0.29319684908711896,5.827069011775765,5.640928993307709e-09,3.760191985766252e-08
NWMN_RS03880,4550.7448997207985,1.7434493941028333,0.2656187743599854,6.563728028275543,5.2478882122606304e-11,4.901928702726251e-10
NWMN_RS03885,49197.36578237637,0.6257288776193346,0.2804081122228179,2.2314934923213556,0.025648458108144673,0.049589273323130074
NWMN_RS03905,5712.595265983493,-1.361172827574489,0.2822798676621611,-4.822068392080909,1.420772114441415e-06,6.575856000748671e-06
NWMN_RS03910,8885.46382981765,-0.7850721053998516,0.2042981096755873,-3.8427771389882035,0.00012164992462560987,0.0004182874899494886
NWMN_RS03930,15855.320583594064,-3.195493374103048,0.3034444655207948,-10.530735397064158,6.234549083805175e-26,2.689107715117732e-24
NWMN_RS03940,8838.519783124091,1.577934527780507,0.4525263290493918,3.486945237187029,0.0004885713890609099,0.0014834160291052265
NWMN_RS03945,496.1764768268446,0.6467540759906624,0.25551704681330845,2.5311582301716578,0.011368654997966006,0.02435665822427633
NWMN_RS04000,1126.7150082513886,0.7064584489979231,0.22517777502872383,3.1373364840637885,0.0017049034215236953,0.004492795808920933
NWMN_RS04005,2468.458761776042,0.8280631694448922,0.18776352178157277,4.410138676500682,1.0330444186872672e-05,4.261489845302046e-05
NWMN_RS04010,240.95705281343666,1.347207989799067,0.4696264701248779,2.8686798455820264,0.004121887881596954,0.009961801656456385
NWMN_RS04020,2363.36664970896,-1.6158888239016242,0.2466145033707056,-6.5522862679031295,5.666278531064366e-11,5.226161928179807e-10
NWMN_RS04030,5552.034232680051,0.617993484711884,0.25053159110351636,2.466728774562156,0.013635359528701763,0.02873025107592117
NWMN_RS04035,454.9373791023738,0.6941165729593487,0.2174572661135466,3.191967715610439,0.0014130712592724391,0.00380931801787322
NWMN_RS04050,1976.7593523799405,0.5566986024407363,0.2499759544431528,2.2270086084113165,0.025946698469025326,0.04992117311176727
NWMN_RS04055,4061.1711046391283,-1.1044573401268676,0.28133394108882903,-3.9257877519234117,8.644635789663563e-05,0.00030621638612419365
NWMN_RS04060,2990.6906120560893,0.5980652606937417,0.1918536754196362,3.117298948720217,0.0018251638990204402,0.004771128088972327
NWMN_RS04070,262.45533988244574,-2.32546012675407,0.257581094636548,-9.028069897891148,1.747262170036154e-19,4.200590118619705e-18
NWMN_RS04115,7506.254691156964,-0.6037693392155282,0.2554933791477207,-2.363150627345384,0.01812030301041008,0.03662773861442644
NWMN_RS04120,15181.373116269144,-1.132426020425242,0.28711275901632355,-3.944185637395721,8.007161484524271e-05,0.0002850121921615253
NWMN_RS04130,2420.577997805921,0.574511034908766,0.23296775530246114,2.466053871544929,0.013661078648259705,0.028763778661411138
NWMN_RS04145,25001.20170210635,-1.5229185906427738,0.3458543869079205,-4.403351954729526,1.0659103088158268e-05,4.37246844161793e-05
NWMN_RS04155,6824.387587399767,-1.1560411921416993,0.2753279783357362,-4.198778486405828,2.683586752993255e-05,0.00010397569282072942
NWMN_RS04160,34027.28672767331,-2.9194507971912205,0.31592363794699785,-9.241001452639049,2.4420081170434773e-20,6.228182441120452e-19
NWMN_RS04165,24705.125513511037,-2.556086385938516,0.30499407416880653,-8.38077393111509,5.2580806632384385e-17,9.638719115798964e-16
NWMN_RS04180,18267.69079501453,-2.629547763187856,0.26673476684795366,-9.858286545326028,6.311726139077487e-23,2.0569214184349185e-21
NWMN_RS04185,3256.472250030937,-3.548127936195118,0.1902074184550514,-18.653993440500788,1.1718825598697353e-77,1.1457105160326446e-74
NWMN_RS04190,16142.297330488747,-2.677629191799688,0.23818370804825992,-11.241865422874165,2.539584596111963e-29,1.4324233885377668e-27
NWMN_RS04195,34938.71816663176,-1.6927194711024658,0.30311210189645743,-5.58446680456426,2.3441828561547372e-08,1.4353837822759592e-07
NWMN_RS04200,14534.992431312749,-0.995726505362082,0.3471157688071006,-2.8685717989246053,0.004123296014639635,0.009961801656456385
NWMN_RS04220,1654.9388642092717,0.6725312825588354,0.20477668450147407,3.2842180456046703,0.0010226576824318523,0.002867547784486255
NWMN_RS04230,4288.878439777356,-1.1011098475583927,0.21663225954253837,-5.0828526179969815,3.718081964631577e-07,1.8737344333787656e-06
NWMN_RS04235,24424.653147824865,-1.5565950451029458,0.2363511588721757,-6.585942089434768,4.5200999142746595e-11,4.262846639410796e-10
NWMN_RS04240,2960.795956514923,-1.5128179467354101,0.24666150974899242,-6.133173952737431,8.614286557686452e-10,6.461816489435899e-09
NWMN_RS14985,889155.3559227175,-1.13549631004772,0.35368207879461144,-3.2104999889098704,0.0013250427363307173,0.003591821021865059
NWMN_RS04250,352.4979071357404,1.5920914334048664,0.2633628878747667,6.045238363887973,1.4918926881456944e-09,1.075115787304993e-08
NWMN_RS15950,220.33441895760015,1.5053145675980124,0.2922539593776529,5.150707182217616,2.5950608220839006e-07,1.3260127859184808e-06
NWMN_RS04260,188.19476449369418,1.2855224209066396,0.24631428310565584,5.219033198960769,1.7985952459185018e-07,9.436994376169885e-07
NWMN_RS04270,711.6255721996018,-3.28516202645975,0.22028798396345567,-14.913033236550646,2.711496296797435e-50,6.627348865422398e-48
NWMN_RS04275,643.1523568994797,-2.6710551743456,0.2357640294994003,-11.329358341970458,9.389002554175965e-30,5.737071769041272e-28
NWMN_RS04280,416204.1917540486,-3.4272728065729408,0.47066378994146063,-7.2817855968890495,3.294303509622413e-13,4.18276718342967e-12
NWMN_RS04285,103.34925943371398,1.2389774660060295,0.4195522027186895,2.953094890164994,0.0031460523974198725,0.007799976062242169
NWMN_RS04290,636.7163114959545,2.7391149755450988,0.3647097728151653,7.510396429473473,5.89485770884932e-14,7.931017275254613e-13
NWMN_RS04300,277.54225795883985,2.861976857687107,0.2359017652280483,12.132070546061446,7.142045163998204e-34,5.985033847430495e-32
NWMN_RS04305,13306.153571392764,1.5978077573498828,0.2756207405078692,5.797124535714191,6.746159577294758e-09,4.456415774821065e-08
NWMN_RS04310,3081.3595891390873,-3.0186537013713814,0.33307400764806555,-9.063011919443944,1.2689716137733188e-19,3.127641801006003e-18
NWMN_RS04315,1935.075786979825,-2.9501218249815744,0.29623781671072336,-9.958626679531509,2.3123470456466635e-23,7.978957511625487e-22
NWMN_RS04325,869.7975660798606,-1.1130082278358466,0.24864041585919736,-4.476376955812897,7.592038973095987e-06,3.2039496846173425e-05
NWMN_RS04330,1452.9719746444698,-1.387030548912474,0.26952033024012806,-5.146292851736656,2.656845473326674e-07,1.3552222214377625e-06
NWMN_RS04335,39642.8021634277,-3.160969289495626,0.28544463513532314,-11.07384375256196,1.6803513749814573e-28,8.646439618983533e-27
NWMN_RS04340,23018.304383078565,-3.2556797084951468,0.266073754712489,-12.236004682284927,1.9961944299587857e-34,1.8296369572090997e-32
NWMN_RS04355,1503.9756409026522,-0.7809399520794155,0.2969280036898081,-2.630065006920803,0.008536854229499347,0.01896863140539514
NWMN_RS04360,4491.607647841612,-3.2313959562221815,0.32356764188417964,-9.98677104238641,1.7416270121961592e-23,6.154448225025704e-22
NWMN_RS04375,5404.754855699676,-1.0939319946512147,0.3372684359032463,-3.243505404594208,0.0011806857068456052,0.0032364029702599624
NWMN_RS04405,3742.8987108901647,-2.7603567644542424,0.3048939784956489,-9.05349714702101,1.3846124467505e-19,3.384223588599347e-18
NWMN_RS04410,2343.6367375084365,-2.546077964643671,0.30803917363072,-8.265435641299089,1.3918551757479742e-16,2.4444977427956937e-15
NWMN_RS04430,127004.9459767189,-3.543638490983615,0.45524982070663905,-7.783942639413184,7.029864048510348e-15,1.0361101132804446e-13
NWMN_RS04435,6899.846218833667,-2.5615414504455454,0.30486732227482,-8.402151569844099,4.383715078510224e-17,8.08643794042169e-16
NWMN_RS04440,7866.768615314133,-2.0617584405526936,0.3198934231194947,-6.445141698904304,1.1549246212730761e-10,1.0021875485780865e-09
NWMN_RS04445,25875.474607213433,-1.6735633664775567,0.3131522718119502,-5.344247885522418,9.07932479453319e-08,4.977506471470252e-07
