annotation.GeneID,counts.co01.bam,counts.co02.bam,counts.co03.bam,counts.co04.bam,counts.mono01.bam,counts.mono02.bam,counts.mono03.bam,counts.mono04.bam
NWMN_RS11055,7,7,27,25,4,5,2,8
NWMN_RS11060,382,365,488,630,1075,2734,1554,2854
NWMN_RS11065,72,73,101,124,35,53,8,51
NWMN_RS11070,33,35,65,61,25,25,8,25
NWMN_RS11075,6,4,6,6,0,3,2,12
NWMN_RS11080,0,0,0,1,0,0,0,0
NWMN_RS11085,1845,1373,1435,1635,1514,987,557,494
NWMN_RS11090,2530,2067,2600,3018,524,286,527,390
NWMN_RS11095,865,759,1156,1144,243,153,198,142
NWMN_RS11100,840,614,975,1010,150,105,177,99
NWMN_RS11105,1241,807,1710,1454,164,175,201,202
NWMN_RS11110,407,333,579,465,243,194,133,180
NWMN_RS11115,445,359,598,554,306,163,101,173
NWMN_RS11120,1943,2848,6425,8229,236,412,153,234
NWMN_RS11125,2135,3530,6174,8302,369,390,181,234
NWMN_RS11130,5145,3868,5013,3091,39166,20129,12195,13160
NWMN_RS11135,65,94,99,46,27,20,22,41
NWMN_RS11140,22,27,45,27,7,5,8,12
NWMN_RS11145,1175,1100,1208,931,249,345,135,830
NWMN_RS11150,1533,1238,1215,639,1056,2129,695,1548
NWMN_RS11155,642,606,494,263,577,1126,332,977
NWMN_RS11160,447,200,147,144,55,74,31,48
NWMN_RS11165,173,86,41,30,21,29,7,21
NWMN_RS15510,1274,543,256,263,101,193,168,238
NWMN_RS11175,172618,64987,36385,34079,24017,27489,46643,50095
NWMN_RS11180,11372,4920,2896,3148,1675,1837,4114,6278
NWMN_RS11185,2589,2969,4228,3777,441,499,249,704
NWMN_RS11190,2668,2393,3256,3571,3292,2037,753,1857
NWMN_RS11195,1287,892,1828,1490,1625,1258,567,2276
NWMN_RS11200,4868,3697,3197,2958,6426,4201,1983,3521
NWMN_RS16045,1367,1252,2390,11871,109767,143979,81907,173105
NWMN_RS11210,11659,15376,21709,34173,45783,62596,13656,34516
NWMN_RS11215,3075,3636,5484,8491,11987,15966,3540,8439
NWMN_RS11220,19074,21511,33284,50423,60774,80571,19323,46577
NWMN_RS11225,15517,14941,25255,37430,43351,55522,12533,31459
NWMN_RS11230,195,199,232,345,70,125,38,115
NWMN_RS11235,7700,5659,6109,4435,2431,2699,881,2106
NWMN_RS11240,12932,9686,11703,9953,4935,5255,2320,4986
NWMN_RS11245,3811,2967,3969,4382,738,1226,391,2092
NWMN_RS11250,168,68,131,92,41,73,24,160
